,GeneId,aging_mechanisms,criteria,confidence,aging_mechanisms_group
0,A2M,'stem cell exhaustion',"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,Exhaustion of stem cells
1,A2M,'sterile inflammation',"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,Altered intercellular communication
2,AARS1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
3,AASS,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
4,AASS,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
5,ABCA5,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
6,ABCA8,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
7,ABCA9,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
8,ABCC4,'accumulation of reactive oxygen species',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Mitochondrial dysfunction
9,ABCD3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
10,ABCE1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
11,ABCG1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
12,ABCG2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
13,ABHD1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
14,ABI2,other,"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Regulation of genes associated with aging'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
15,ABLIM1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
16,ABLIM2,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
17,ABO,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
18,ABR,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
19,ACAA2,'impairment of the mitochondrial integrity and biogenesis',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
20,ACADVL,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
21,ACAN,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
22,ACAN,'changes in the extracellular matrix structure',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Changes in the extracellular matrix structure
23,ACE,'degradation of proteolytic systems',"[""'Association of genetic variants and gene expression levels with longevity'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'""]",3,Loss of proteostasis
24,ACE,'stem cell exhaustion',"[""'Association of genetic variants and gene expression levels with longevity'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'""]",3,Exhaustion of stem cells
25,ACE2,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity extend non-mammalian lifespan'""]",3,Loss of proteostasis
26,ACKR2,'sterile inflammation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
27,ACKR3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
28,ACOT13,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
29,ACOT8,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
30,ACOT9,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
31,ACOX1,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'""]",5,Mitochondrial dysfunction
32,ACP1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
33,ACP2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
34,ACRV1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
35,ACSBG1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
36,ACSL5,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
37,ACTA1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
38,ACTG1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
39,ACTN1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
40,ACTN4,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
41,ACVR2A,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
42,ACY3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
43,ADAM10,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
44,ADAM10,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
45,ADAM10,'changes in the extracellular matrix structure',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Changes in the extracellular matrix structure
46,ADAM8,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
47,ADAM8,'sterile inflammation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
48,ADAM8,'changes in the extracellular matrix structure',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Changes in the extracellular matrix structure
49,ADAMTS1,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,Loss of proteostasis
50,ADAMTS20,'degradation of proteolytic systems',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'""]",3,Loss of proteostasis
51,ADAMTS5,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
52,ADAMTS5,'changes in the extracellular matrix structure',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Changes in the extracellular matrix structure
53,ADAP1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
54,ADCY1,'sterile inflammation',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Altered intercellular communication
55,ADCY3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
