,DB_id,Status,Description,ATC,State,Gene_Target,Name,Gene_Desc,organism,BE_ID,Type,Known_Action,Mech_Of_Action,Indication,P_id,P_id_source,References,References_Pubmed
20261,DB04974,investigational,"Rimiducid is a lipid-permeable tacrolimus analogue and a protein dimerizer. It was designed to overcome limitations of current cellular immunotherapies used for cancer and other blood disorders by enhancing the control of the immune cell activity and function. When administered via chemically-inducible dimerization (CID) technologies, rimiducid binds to switch proteins and dimerizes them, triggering downstream signaling cascade.[A187496,L9521] The combination use of rimiducid with immunotherapies for enhanced therapeutic effectiveness is currently under investigation.",,solid,MTOR,Rimiducid,Tfiiic-class transcription factor binding,Humans,BE0002386,target,unknown,ligand,Investigated for use/treatment in bone marrow transplant and graft versus host disease.,P42345,Swiss-Prot,,
32663,DB12747,investigational,"Tertomotide is under investigation in clinical trial NCT01223209 (A Study, Combination, Immunologic Study of LTX-315 as adjunct to tertomotide in Patients Following Curative Surgery for Carcinoma). It is a peptide vaccine that activates the immune system so that it recognizes and kills cancer cells. It is being developed by Pharmexa A/S.",,,TERT,Tertomotide,Trna binding,Humans,BE0002449,target,unknown,,,O14746,Swiss-Prot,"Kokhaei P, Palma M, Hansson L, Osterborg A, Mellstedt H, Choudhury A: Telomerase (hTERT 611-626) serves as a tumor antigen in B-cell chronic lymphocytic leukemia and generates spontaneously antileukemic, cytotoxic T cells. Exp Hematol. 2007 Feb;35(2):297-304.",17258078
34742,DB13978,experimental,"Selective inhibitor of SIRT1 that does not inhibit histone deacetylase (HDAC) or other sirtuin deacetylase family members (IC50 values are 98, 19600, 48700, > 100000 and > 100000 nM for SIRT1, SIRT2, SIRT3, HDAC and NADase respectively). Enhances p53 acetylation in response to DNA damaging agents.",,solid,SIRT1,Selisistat,Transcription factor binding,Humans,BE0002461,target,unknown,inhibitor,,Q96EB6,Swiss-Prot,"Solomon JM, Pasupuleti R, Xu L, McDonagh T, Curtis R, DiStefano PS, Huber LJ: Inhibition of SIRT1 catalytic activity increases p53 acetylation but does not alter cell survival following DNA damage. Mol Cell Biol. 2006 Jan;26(1):28-38. doi: 10.1128/MCB.26.1.28-38.2006.",16354677
36916,DB14904,investigational,Pimasertib is under investigation in clinical trial NCT01378377 (Combination Trial of Pimasertib (MSC1936369B) With Temsirolimus).,,,MAP2K1,Pimasertib,Receptor signaling protein tyrosine phosphatase activity,Humans,BE0010124,target,unknown,inhibitor,,Q02750,Swiss-Prot,"de Weger VA, de Jonge M, Langenberg MHG, Schellens JHM, Lolkema M, Varga A, Demers B, Thomas K, Hsu K, Tuffal G, Goodstal S, Mace S, Deutsch E: A phase I study of the HDM2 antagonist SAR405838 combined with the MEK inhibitor pimasertib in patients with advanced solid tumours. Br J Cancer. 2019 Feb;120(3):286-293. doi: 10.1038/s41416-018-0355-8. Epub 2018 Dec 26.",30585255
36917,DB14904,investigational,Pimasertib is under investigation in clinical trial NCT01378377 (Combination Trial of Pimasertib (MSC1936369B) With Temsirolimus).,,,MAP2K2,Pimasertib,Scaffold protein binding,Humans,BE0010124,target,unknown,inhibitor,,P36507,Swiss-Prot,"de Weger VA, de Jonge M, Langenberg MHG, Schellens JHM, Lolkema M, Varga A, Demers B, Thomas K, Hsu K, Tuffal G, Goodstal S, Mace S, Deutsch E: A phase I study of the HDM2 antagonist SAR405838 combined with the MEK inhibitor pimasertib in patients with advanced solid tumours. Br J Cancer. 2019 Feb;120(3):286-293. doi: 10.1038/s41416-018-0355-8. Epub 2018 Dec 26.",30585255
36918,DB14904,investigational,Pimasertib is under investigation in clinical trial NCT01378377 (Combination Trial of Pimasertib (MSC1936369B) With Temsirolimus).,,,MAP2K3,Pimasertib,Dual specificity kinase. Is activated by cytokines and environmental stress in vivo. Catalyzes the concomitant phosphorylation of a threonine and a tyrosine residue in the MAP kinase p38. Part of a signaling cascade that begins with the activation of the adrenergic receptor ADRA1B and leads to the activation of MAPK14.,Humans,BE0010124,target,unknown,inhibitor,,P46734,Swiss-Prot,"de Weger VA, de Jonge M, Langenberg MHG, Schellens JHM, Lolkema M, Varga A, Demers B, Thomas K, Hsu K, Tuffal G, Goodstal S, Mace S, Deutsch E: A phase I study of the HDM2 antagonist SAR405838 combined with the MEK inhibitor pimasertib in patients with advanced solid tumours. Br J Cancer. 2019 Feb;120(3):286-293. doi: 10.1038/s41416-018-0355-8. Epub 2018 Dec 26.",30585255
36919,DB14904,investigational,Pimasertib is under investigation in clinical trial NCT01378377 (Combination Trial of Pimasertib (MSC1936369B) With Temsirolimus).,,,MAP2K4,Pimasertib,"Dual specificity protein kinase which acts as an essential component of the MAP kinase signal transduction pathway. Essential component of the stress-activated protein kinase/c-Jun N-terminal kinase (SAP/JNK) signaling pathway. With MAP2K7/MKK7, is the one of the only known kinase to directly activate the stress-activated protein kinase/c-Jun N-terminal kinases MAPK8/JNK1, MAPK9/JNK2 and MAPK10/JNK3. MAP2K4/MKK4 and MAP2K7/MKK7 both activate the JNKs by phosphorylation, but they differ in their preference for the phosphorylation site in the Thr-Pro-Tyr motif. MAP2K4 shows preference for phosphorylation of the Tyr residue and MAP2K7/MKK7 for the Thr residue. The phosphorylation of the Thr residue by MAP2K7/MKK7 seems to be the prerequisite for JNK activation at least in response to proinflammatory cytokines, while other stimuli activate both MAP2K4/MKK4 and MAP2K7/MKK7 which synergistically phosphorylate JNKs. MAP2K4 is required for maintaining peripheral lymphoid homeostasis. The MKK/JNK signaling pathway is also involved in mitochondrial death signaling pathway, including the release cytochrome c, leading to apoptosis. Whereas MAP2K7/MKK7 exclusively activates JNKs, MAP2K4/MKK4 additionally activates the p38 MAPKs MAPK11, MAPK12, MAPK13 and MAPK14.",Humans,BE0010124,target,unknown,inhibitor,,P45985,Swiss-Prot,"de Weger VA, de Jonge M, Langenberg MHG, Schellens JHM, Lolkema M, Varga A, Demers B, Thomas K, Hsu K, Tuffal G, Goodstal S, Mace S, Deutsch E: A phase I study of the HDM2 antagonist SAR405838 combined with the MEK inhibitor pimasertib in patients with advanced solid tumours. Br J Cancer. 2019 Feb;120(3):286-293. doi: 10.1038/s41416-018-0355-8. Epub 2018 Dec 26.",30585255
36920,DB14904,investigational,Pimasertib is under investigation in clinical trial NCT01378377 (Combination Trial of Pimasertib (MSC1936369B) With Temsirolimus).,,,MAP2K5,Pimasertib,"Acts as a scaffold for the formation of a ternary MAP3K2/MAP3K3-MAP3K5-MAPK7 signaling complex. Activation of this pathway appears to play a critical role in protecting cells from stress-induced apoptosis, neuronal survival and cardiac development and angiogenesis.",Humans,BE0010124,target,unknown,inhibitor,,Q13163,Swiss-Prot,"de Weger VA, de Jonge M, Langenberg MHG, Schellens JHM, Lolkema M, Varga A, Demers B, Thomas K, Hsu K, Tuffal G, Goodstal S, Mace S, Deutsch E: A phase I study of the HDM2 antagonist SAR405838 combined with the MEK inhibitor pimasertib in patients with advanced solid tumours. Br J Cancer. 2019 Feb;120(3):286-293. doi: 10.1038/s41416-018-0355-8. Epub 2018 Dec 26.",30585255
36921,DB14904,investigational,Pimasertib is under investigation in clinical trial NCT01378377 (Combination Trial of Pimasertib (MSC1936369B) With Temsirolimus).,,,MAP2K6,Pimasertib,"Dual specificity protein kinase which acts as an essential component of the MAP kinase signal transduction pathway. With MAP3K3/MKK3, catalyzes the concomitant phosphorylation of a threonine and a tyrosine residue in the MAP kinases p38 MAPK11, MAPK12, MAPK13 and MAPK14 and plays an important role in the regulation of cellular responses to cytokines and all kinds of stresses. Especially, MAP2K3/MKK3 and MAP2K6/MKK6 are both essential for the activation of MAPK11 and MAPK13 induced by environmental stress, whereas MAP2K6/MKK6 is the major MAPK11 activator in response to TNF. MAP2K6/MKK6 also phosphorylates and activates PAK6. The p38 MAP kinase signal transduction pathway leads to direct activation of transcription factors. Nuclear targets of p38 MAP kinase include the transcription factors ATF2 and ELK1. Within the p38 MAPK signal transduction pathway, MAP3K6/MKK6 mediates phosphorylation of STAT4 through MAPK14 activation, and is therefore required for STAT4 activation and STAT4-regulated gene expression in response to IL-12 stimulation. The pathway is also crucial for IL-6-induced SOCS3 expression and down-regulation of IL-6-mediated gene induction; and for IFNG-dependent gene transcription. Has a role in osteoclast differentiation through NF-kappa-B transactivation by TNFSF11, and in endochondral ossification and since SOX9 is another likely downstream target of the p38 MAPK pathway. MAP2K6/MKK6 mediates apoptotic cell death in thymocytes. Acts also as a regulator for melanocytes dendricity, through the modulation of Rho family GTPases.",Humans,BE0010124,target,unknown,inhibitor,,P52564,Swiss-Prot,"de Weger VA, de Jonge M, Langenberg MHG, Schellens JHM, Lolkema M, Varga A, Demers B, Thomas K, Hsu K, Tuffal G, Goodstal S, Mace S, Deutsch E: A phase I study of the HDM2 antagonist SAR405838 combined with the MEK inhibitor pimasertib in patients with advanced solid tumours. Br J Cancer. 2019 Feb;120(3):286-293. doi: 10.1038/s41416-018-0355-8. Epub 2018 Dec 26.",30585255
36922,DB14904,investigational,Pimasertib is under investigation in clinical trial NCT01378377 (Combination Trial of Pimasertib (MSC1936369B) With Temsirolimus).,,,MAP2K7,Pimasertib,"Dual specificity protein kinase which acts as an essential component of the MAP kinase signal transduction pathway. Essential component of the stress-activated protein kinase/c-Jun N-terminal kinase (SAP/JNK) signaling pathway. With MAP2K4/MKK4, is the one of the only known kinase to directly activate the stress-activated protein kinase/c-Jun N-terminal kinases MAPK8/JNK1, MAPK9/JNK2 and MAPK10/JNK3. MAP2K4/MKK4 and MAP2K7/MKK7 both activate the JNKs by phosphorylation, but they differ in their preference for the phosphorylation site in the Thr-Pro-Tyr motif. MAP2K4/MKK4 shows preference for phosphorylation of the Tyr residue and MAP2K7/MKK7 for the Thr residue. The monophosphorylation of JNKs on the Thr residue is sufficient to increase JNK activity indicating that MAP2K7/MKK7 is important to trigger JNK activity, while the additional phosphorylation of the Tyr residue by MAP2K4/MKK4 ensures optimal JNK activation. Has a specific role in JNK signal transduction pathway activated by proinflammatory cytokines. The MKK/JNK signaling pathway is also involved in mitochondrial death signaling pathway, including the release cytochrome c, leading to apoptosis. Part of a non-canonical MAPK signaling pathway, composed of the upstream MAP3K12 kinase and downstream MAP kinases MAPK1/ERK2 and MAPK3/ERK1, that enhances the AP-1-mediated transcription of APP in response to APOE (PubMed:28111074).",Humans,BE0010124,target,unknown,inhibitor,,O14733,Swiss-Prot,"de Weger VA, de Jonge M, Langenberg MHG, Schellens JHM, Lolkema M, Varga A, Demers B, Thomas K, Hsu K, Tuffal G, Goodstal S, Mace S, Deutsch E: A phase I study of the HDM2 antagonist SAR405838 combined with the MEK inhibitor pimasertib in patients with advanced solid tumours. Br J Cancer. 2019 Feb;120(3):286-293. doi: 10.1038/s41416-018-0355-8. Epub 2018 Dec 26.",30585255
