,drug_name,Altered intercellular communication count,Altered intercellular communication count marg,Altered intercellular communication,Altered intercellular communication marg,Cmap pAGE Altered intercellular communication level1,Cmap pAGE Altered intercellular communication level2,Cmap pAGE Altered intercellular communication level3,Cmap pAGE Altered intercellular communication level4,Cmap pAGE Altered intercellular communication level5,Cmap pAGE Altered intercellular communication level1 z_score,Cmap pAGE Altered intercellular communication level2 z_score,Cmap pAGE Altered intercellular communication level3 z_score,Cmap pAGE Altered intercellular communication level4 z_score,Cmap pAGE Altered intercellular communication level5 z_score
0,oxymetazoline,5,0,"[1, 2, 3, 4, 5]",[],1.0,0.7142857142857143,0.5555555555555556,0.4615384615384615,0.1354166666666666,1.732050807568877,1.8898223650461363,1.6666666666666667,2.3533936216582085,1.8763883748662833
1,m-cresol,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
2,indoramin,5,0,"[1, 2, 3, 4, 5]",[],-0.3333333333333333,0.1428571428571428,-0.1111111111111111,0.0,0.0,-0.5773502691896256,0.3779644730092272,-0.3333333333333333,0.0,0.0
3,niguldipine,5,0,"[1, 2, 3, 4, 5]",[],-1.0,-0.5714285714285714,-0.6666666666666666,-0.4230769230769231,-0.015625,-1.732050807568877,-1.511857892036909,-2.0,-2.1572774865200244,-0.2165063509461096
4,kw-2450 free base,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
5,phentolamine,5,0,"[1, 2, 3, 4, 5]",[],-0.3333333333333333,-0.2857142857142857,-0.4444444444444444,-0.1153846153846153,0.0989583333333333,-0.5773502691896256,-0.7559289460184545,-1.3333333333333333,-0.5883484054145521,1.3712068893253608
6,indigotindisulfonic acid,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
7,rhigfbp-3,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
8,cixutumumab,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
9,metaraminol,5,0,"[1, 2, 3, 4, 5]",[],0.3333333333333333,0.0,0.2222222222222222,0.0384615384615384,0.046875,0.5773502691896256,0.0,0.6666666666666666,0.196116135138184,0.6495190528383289
10,saprisartan,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
11,1-allyl-3-butyl-8-(n-acetyl-4-aminobenzyl)-xanthine,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
12,angiotensin ii,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
13,sertindole,5,0,"[1, 2, 3, 4, 5]",[],-0.3333333333333333,-0.7142857142857143,-0.7777777777777778,-0.3846153846153846,-0.1041666666666666,-0.5773502691896256,-1.8898223650461363,-2.3333333333333335,-1.96116135138184,-1.4433756729740643
14,forasartan,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
15,tizanidine,5,0,"[1, 2, 3, 4, 5]",[],0.3333333333333333,0.0,-0.2222222222222222,0.1153846153846153,-0.1510416666666666,0.5773502691896256,0.0,-0.6666666666666666,0.5883484054145521,-2.092894725812393
16,terazosin,5,0,"[1, 2, 3, 4, 5]",[],0.3333333333333333,0.1428571428571428,0.1111111111111111,0.3076923076923077,0.09375,0.5773502691896256,0.3779644730092272,0.3333333333333333,1.568929081105472,1.2990381056766578
17,"(4z)-6-bromo-4-({[4-(pyrrolidin-1-ylmethyl)phenyl]amino}methylidene)isoquinoline-1,3(2h,4h)-dione",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
18,prazosin,5,0,"[1, 2, 3, 4, 5]",[],-0.3333333333333333,-0.5714285714285714,-0.6666666666666666,-0.1153846153846153,0.0052083333333333,-0.5773502691896256,-1.511857892036909,-2.0,-0.5883484054145521,0.0721687836487032
19,silodosin,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
20,arotinolol,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
