,drug_name,Changes in the extracellular matrix structure count,Changes in the extracellular matrix structure count marg,Changes in the extracellular matrix structure,Changes in the extracellular matrix structure marg,Cmap pAGE Changes in the extracellular matrix structure level1,Cmap pAGE Changes in the extracellular matrix structure level2,Cmap pAGE Changes in the extracellular matrix structure level3,Cmap pAGE Changes in the extracellular matrix structure level4,Cmap pAGE Changes in the extracellular matrix structure level5,Cmap pAGE Changes in the extracellular matrix structure level1 z_score,Cmap pAGE Changes in the extracellular matrix structure level2 z_score,Cmap pAGE Changes in the extracellular matrix structure level3 z_score,Cmap pAGE Changes in the extracellular matrix structure level4 z_score,Cmap pAGE Changes in the extracellular matrix structure level5 z_score
0,pln-74809,3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
1,"(2r)-2-amino-3,3,3-trifluoro-n-hydroxy-2-{[(4-phenoxyphenyl)sulfonyl]methyl}propanamide",3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
2,trabedersen,3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
3,sc-74020,3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
4,"(3r)-4,4-difluoro-3-[(4-methoxyphenyl)sulfonyl]butanoic acid",3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
5,marimastat,3,0,"[3, 4, 5]",[],,,0.0,0.1428571428571428,0.2142857142857142,0,0,0,0.3779644730092272,1.1338934190276817
6,myristoyl-coa,3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
7,"5-(4-phenoxyphenyl)-5-(4-pyrimidin-2-ylpiperazin-1-yl)pyrimidine-2,4,6(2h,3h)-trione",3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
8,2-{[formyl(hydroxy)amino]methyl}-4-methylpentanoic acid,3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
9,ae-941,3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
10,pg-530742,3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
11,collagenase clostridium histolyticum,3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
12,captopril,3,0,"[3, 4, 5]",[],,,0.0,-0.4285714285714285,-0.2142857142857142,0,0,0,-1.1338934190276817,-1.1338934190276817
13,(z)-3-benzyl-5-(2-hydroxy-3-nitrobenzylidene)-2-thioxothiazolidin-4-one,3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
14,halofuginone,3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
15,oleandrin,3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
16,varespladib methyl,3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
17,hyaluronidase (ovine),3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
18,hyaluronidase,3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
19,benzamidine,3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
20,foreskin keratinocyte (neonatal),3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
21,s-(2-oxo)pentadecylcoa,3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
22,hyaluronidase (human recombinant),3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
23,"2-amino-n,3,3-trimethylbutanamide",3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
24,"1-(cyclohexylamino)-3-(6-methyl-3,4-dihydro-1h-carbazol-9(2h)-yl)propan-2-ol",3,0,"[3, 4, 5]",[],,,,,,0,0,0,0.0,0.0
25,miv-711,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
26,miv-701,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
27,n-oxo-2-[(4-phenylphenyl)sulfonylamino]ethanamide,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
28,methylphosphinate,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
29,"4-{[1-methyl-2,4-dioxo-6-(3-phenylprop-1-yn-1-yl)-1,4-dihydroquinazolin-3(2h)-yl]methyl}benzoic acid",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
30,lanoteplase,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
31,n-({4-[4-(2-methyl-1h-imidazol-1-yl)butyl]phenyl}acetyl)-l-seryl-n-(2-cyclohexylethyl)-l-lysinamide,2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
32,"l-709,587",2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
33,"m-(n,n,n-trimethylammonio)-2,2,2-trifluoro-1,1-dihydroxyethylbenzene",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
34,"3,8-diamino-6-phenyl-5-[6-[1-[2-[(1,2,3,4-tetrahydro-9-acridinyl)amino]ethyl]-1h-1,2,3-triazol-4-yl]hexyl]-phenanthridinium",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
35,"(20s)-19,20,22,23-tetrahydro-19-oxo-5h,21h-18,20-ethano-12,14-etheno-6,10-methenobenz[d]imidazo[4,3-l][1,6,9,13]oxatriazacyclonoadecosine-9-carbonitrile",2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
36,3-methylpyridine,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
37,n-oxo-2-(phenylsulfonylamino)ethanamide,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
38,"(5s)-5-(2-amino-2-oxoethyl)-4-oxo-n-[(3-oxo-3,4-dihydro-2h-1,4-benzoxazin-6-yl)methyl]-3,4,5,6,7,8-hexahydro[1]benzothieno[2,3-d]pyrimidine-2-carboxamide",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
39,mf268,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
40,"3,8-diamino-6-phenyl-5-[6-[1-[2-[(1,2,3,4-tetrahydro-9-acridinyl)amino]ethyl]-1h-1,2,3-triazol-5-yl]hexyl]-phenanthridinium",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
41,almitrine,2,0,"[3, 4]",[],,,0.0,-0.4285714285714285,-0.3571428571428571,0,0,0,-1.1338934190276817,-1.8898223650461363
42,"(9s)-9-[(8-ammoniooctyl)amino]-1,2,3,4,9,10-hexahydroacridinium",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
43,tert-butyl(1s)-1-cyclohexyl-2-oxoethylcarbamate,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
44,fradafiban,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
45,3-[(4'-cyanobiphenyl-4-yl)oxy]-n-hydroxypropanamide,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
46,(r)-tacrine(10)-hupyridone,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
47,[4-(4-phenyl-piperidin-1-yl)-benzenesulfonylamino]-acetic acid,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
48,"[2-(5-mercapto-[1,3,4]thiadiazol-2-ylcarbamoyl)-1-phenyl-ethyl]-carbamic acid benzyl ester",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
49,"1-benzyl-4-[(5,6-dimethoxy-1-indanon-2-yl)methyl]piperidine",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
50,methylthioninium,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
51,"(20s)-19,20,21,22-tetrahydro-19-oxo-5h-18,20-ethano-12,14-etheno-6,10-metheno-18h-benz[d]imidazo[4,3-k][1,6,9,12]oxatriaza-cyclooctadecosine-9-carbonitrile",2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
52,"3,6,9,12,15-pentaoxaheptadecane",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
53,"(21s)-1aza-4,4-dimethyl-6,19-dioxa-2,3,7,20-tetraoxobicyclo[19.4.0] pentacosane",2,0,"[3, 4]",[],,,,,,0,0,0,0.0,0.0
54,"(4as,6r,8as)-11-[8-(1,3-dioxo-1,3-dihydro-2h-isoindol-2-yl)octyl]-6-hydroxy-3-methoxy-5,6,9,10-tetrahydro-4ah-[1]benzofuro[3a,3,2-ef][2]benzazepin-11-ium",2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
55,monoisopropylphosphorylserine,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
56,efmoroctocog alfa,2,0,"[4, 5]",[],,,,,,0,0,0,0.0,0.0
