,drug_name,Disabled macroautophagy count,Disabled macroautophagy count marg,Disabled macroautophagy,Disabled macroautophagy marg,Cmap pAGE Disabled macroautophagy level1,Cmap pAGE Disabled macroautophagy level2,Cmap pAGE Disabled macroautophagy level3,Cmap pAGE Disabled macroautophagy level4,Cmap pAGE Disabled macroautophagy level5,Cmap pAGE Disabled macroautophagy level1 z_score,Cmap pAGE Disabled macroautophagy level2 z_score,Cmap pAGE Disabled macroautophagy level3 z_score,Cmap pAGE Disabled macroautophagy level4 z_score,Cmap pAGE Disabled macroautophagy level5 z_score
0,lx1031,4,0,"[2, 3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
1,monobenzone,4,0,"[2, 3, 4, 5]",[],,0.0,1.0,1.0,-0.1,0,0,1.4142135623730951,1.4142135623730951,-0.447213595499958
2,imexon,4,0,"[2, 3, 4, 5]",[],,0.0,0.0,0.0,0.3,0,0,0.0,0.0,1.3416407864998738
3,tpmpa,4,0,"[2, 3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
4,talampanel,4,0,"[2, 3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
5,delta-amino valeric acid,4,0,"[2, 3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
6,"n-(5-{4-chloro-3-[(2-hydroxyethyl)sulfamoyl]phenyl}-4-methyl-1,3-thiazol-2-yl)acetamide",4,0,"[2, 3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
7,actelion-1,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
8,methohexital,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
9,"5-[(3r)-3-(5-methoxy-4'-methylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
10,oxetacaine,3,0,"[2, 3, 4]",[],,0.0,1.0,1.0,0.5,0,0,1.4142135623730951,1.4142135623730951,2.23606797749979
11,p1-(adenosine-5'-p5-(uridine-5')pentaphosphate,3,0,"[2, 3, 4]",[],,,,,,0,0,0.0,0.0,0.0
12,olopatadine,3,0,"[3, 4, 5]",[],,0.0,1.0,1.0,-0.2,0,0,1.4142135623730951,1.4142135623730951,-0.894427190999916
13,carbetocin,3,0,"[3, 4, 5]",[],,0.0,1.0,1.0,0.0,0,0,1.4142135623730951,1.4142135623730951,0.0
14,darusentan,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
