,drug_name,Exhaustion of stem cells count,Exhaustion of stem cells count marg,Exhaustion of stem cells,Exhaustion of stem cells marg,Cmap pAGE Exhaustion of stem cells level1,Cmap pAGE Exhaustion of stem cells level2,Cmap pAGE Exhaustion of stem cells level3,Cmap pAGE Exhaustion of stem cells level4,Cmap pAGE Exhaustion of stem cells level5,Cmap pAGE Exhaustion of stem cells level1 z_score,Cmap pAGE Exhaustion of stem cells level2 z_score,Cmap pAGE Exhaustion of stem cells level3 z_score,Cmap pAGE Exhaustion of stem cells level4 z_score,Cmap pAGE Exhaustion of stem cells level5 z_score
0,pimasertib,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
1,mk-0668,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
2,toloxatone,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
3,guanadrel,3,0,"[3, 4, 5]",[],,,0.3333333333333333,0.6666666666666666,0.4285714285714285,0,0,0.5773502691896256,1.6329931618554518,1.9639610121239313
4,protriptyline,3,0,"[3, 4, 5]",[],,,-0.3333333333333333,0.0,-0.238095238095238,0,0,-0.5773502691896256,0.0,-1.0910894511799618
5,guanethidine,3,0,"[3, 4, 5]",[],,,0.3333333333333333,0.0,-0.1428571428571428,0,0,0.5773502691896256,0.0,-0.6546536707079771
6,xen-2174,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
7,epicaptopril,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
8,iobenguane sulfate i-123,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
9,iobenguane,3,0,"[3, 4, 5]",[],,,-1.0,-0.6666666666666666,-0.4285714285714285,0,0,-1.732050807568877,-1.6329931618554518,-1.9639610121239313
10,dexmethylphenidate,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
11,dasotraline,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
12,dabigatran etexilate,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
13,tesofensine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
14,triazolopyridine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
15,crx-119,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
16,"[5-amino-1-(4-fluorophenyl)-1h-pyrazol-4-yl](3-{[(2r)-2,3-dihydroxypropyl]oxy}phenyl)methanone",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
17,rescinnamine,3,0,"[3, 4, 5]",[],,,-0.3333333333333333,0.0,0.1428571428571428,0,0,-0.5773502691896256,0.0,0.6546536707079771
18,[5-amino-1-(4-fluorophenyl)-1h-pyrazol-4-yl][3-(piperidin-4-yloxy)phenyl]methanone,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
19,stamulumab,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
20,cpi-1205,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
21,"1-(2,6-dichlorophenyl)-5-(2,4-difluorophenyl)-7-piperazin-1-yl-3,4-dihydroquinazolin-2(1h)-one",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
22,"1-(2,6-dichlorophenyl)-5-(2,4-difluorophenyl)-7-piperidin-4-yl-3,4-dihydroquinolin-2(1h)-one",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
23,cilazaprilat,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
24,brofaromine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
25,sb220025,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
26,fasinumab,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
27,s-octylglutathione,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
28,oleandrin,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
29,olopatadine,3,0,"[3, 4, 5]",[],,,1.0,0.3333333333333333,-0.0476190476190476,0,0,1.732050807568877,0.8164965809277259,-0.2182178902359923
30,ketorolac,3,0,"[3, 4, 5]",[],,,-0.3333333333333333,0.0,0.0476190476190476,0,0,-0.5773502691896256,0.0,0.2182178902359923
31,epirubicin,3,0,"[3, 4, 5]",[],,,0.3333333333333333,0.0,-0.3333333333333333,0,0,0.5773502691896256,0.0,-1.5275252316519463
32,opc-14523,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
33,s-hydroxymethyl glutathione,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
34,pln-74809,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
35,tazemetostat,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
36,mefenamic acid,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
37,ri 624,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
38,phosphoaminophosphonic acid-adenylate ester,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
39,nisoxetine,3,0,"[3, 4, 5]",[],,,1.0,0.3333333333333333,0.0476190476190476,0,0,1.732050807568877,0.8164965809277259,0.2182178902359923
40,kc706,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
41,harmine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
42,olodanrigan,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
43,enalaprilat,3,0,"[3, 4, 5]",[],,,-0.3333333333333333,-0.3333333333333333,-0.1428571428571428,0,0,-0.5773502691896256,-0.8164965809277259,-0.6546536707079771
44,lapachone,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
45,clorgiline,3,0,"[3, 4, 5]",[],,,0.3333333333333333,-0.3333333333333333,-0.238095238095238,0,0,0.5773502691896256,-0.8164965809277259,-1.0910894511799618
46,cx157,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
47,bufotenine,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
48,1-(5-tert-butyl-2-methyl-2h-pyrazol-3-yl)-3-(4-chloro-phenyl)-urea,3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
