,drug_name,Genomic instability count,Genomic instability count marg,Genomic instability,Genomic instability marg,Cmap pAGE Genomic instability level1,Cmap pAGE Genomic instability level2,Cmap pAGE Genomic instability level3,Cmap pAGE Genomic instability level4,Cmap pAGE Genomic instability level5,Cmap pAGE Genomic instability level1 z_score,Cmap pAGE Genomic instability level2 z_score,Cmap pAGE Genomic instability level3 z_score,Cmap pAGE Genomic instability level4 z_score,Cmap pAGE Genomic instability level5 z_score
0,cambinol,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
1,selisistat,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
2,rimiducid,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
3,tertomotide,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
4,cyt997,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
5,"1-(1'-{[3-(methylsulfanyl)-2-benzothiophen-1-yl]carbonyl}spiro[1-benzofuran-3,4'-piperidin]-5-yl)methanamine",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
6,ridaforolimus,4,1,"[2, 3, 4, 5]",[1],,,,,,0.0,0.0,0.0,0.0,0.0
7,paricalcitol,4,0,"[1, 2, 3, 4]",[],1.0,0.0,0.0,-0.36,-0.0136986301369863,1.0,0.0,0.0,-1.7999999999999998,-0.1655211777204736
8,gsk-1059615,4,1,"[2, 3, 4, 5]",[1],-1.0,0.0,-0.3333333333333333,-0.52,-0.2054794520547945,-1.0,0.0,-0.8164965809277259,-2.6,-2.482817665807104
9,pimecrolimus,4,0,"[2, 3, 4, 5]",[],-1.0,-1.0,0.0,-0.2,-0.0821917808219178,-1.0,-1.4142135623730951,0.0,-1.0,-0.9931270663228416
10,bimoclomol,4,0,"[1, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
11,sf1126,4,0,"[1, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
12,5beta-dihydrotestosterone,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
13,imidazole,3,1,"[1, 2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
14,"1-[1'-(3-phenylacryloyl)spiro[1-benzofuran-3,4'-piperidin]-5-yl]methanamine",3,1,"[2, 3, 4]",[5],,,,,,0.0,0.0,0.0,0.0,0.0
15,patupilone,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
16,5-o-phosphono-alpha-d-ribofuranosyl diphosphate,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
17,epothilone d,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
18,cta018,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
19,ceralasertib,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
20,1-(9-ethyl-9h-carbazol-3-yl)-n-methylmethanamine,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
21,isosorbide dinitrate,3,0,"[2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
22,grn163l,3,0,"[1, 2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
23,triethyl phosphate,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
24,veliparib,3,0,"[1, 4, 5]",[],1.0,0.0,-0.6666666666666666,-0.12,0.0,1.0,0.0,-1.6329931618554518,-0.6,0.0
25,azd 3355,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
26,bryostatin 1,3,0,"[3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
27,5-monophosphate-9-beta-d-ribofuranosyl xanthine,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
28,seliciclib,2,0,"[3, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
29,m-hydroxyhippuric acid,2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
30,methyl-2-s-(alpha-d-mannopyranosyl)-2-thio-alpha-d-mannopyranoside,2,1,"[2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
31,pyridoxine phosphate,2,1,"[2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
32,gw-3965,2,0,"[1, 2]",[],1.0,1.0,-0.3333333333333333,-0.12,-0.1095890410958904,1.0,1.4142135623730951,-0.8164965809277259,-0.6,-1.3241694217637887
33,decitabine,2,1,"[1, 3]",[2],1.0,0.0,-0.3333333333333333,-0.28,-0.2054794520547945,1.0,0.0,-0.8164965809277259,-1.4,-2.482817665807104
34,porfiromycin,2,1,"[2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
35,l-saccharopine,2,0,"[2, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
36,"6-amino-benzo[de]isoquinoline-1,3-dione",2,0,"[4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
37,nu1025,2,0,"[4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
38,dioxo(sulfanyl)molybdenum,2,1,"[2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
39,carba-nicotinamide-adenine-dinucleotide,2,1,"[4, 5]",[1],,,,,,0.0,0.0,0.0,0.0,0.0
40,duvoglustat,2,1,"[2, 3]",[4],,,,,,0.0,0.0,0.0,0.0,0.0
41,pimasertib,2,1,"[1, 2]",[3],,,,,,0.0,0.0,0.0,0.0,0.0
42,2-(3'-methoxyphenyl) benzimidazole-4-carboxamide,2,0,"[4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
43,to-901317,2,0,"[1, 3]",[],,,,,,0.0,0.0,0.0,0.0,0.0
44,"5-(4-phenoxyphenyl)-5-(4-pyrimidin-2-ylpiperazin-1-yl)pyrimidine-2,4,6(2h,3h)-trione",2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
45,"(2r)-2-amino-3,3,3-trifluoro-n-hydroxy-2-{[(4-phenoxyphenyl)sulfonyl]methyl}propanamide",2,0,"[1, 2]",[],,,,,,0.0,0.0,0.0,0.0,0.0
