,drug_name,Loss of proteostasis count,Loss of proteostasis count marg,Loss of proteostasis,Loss of proteostasis marg,Cmap pAGE Loss of proteostasis level1,Cmap pAGE Loss of proteostasis level2,Cmap pAGE Loss of proteostasis level3,Cmap pAGE Loss of proteostasis level4,Cmap pAGE Loss of proteostasis level5,Cmap pAGE Loss of proteostasis level1 z_score,Cmap pAGE Loss of proteostasis level2 z_score,Cmap pAGE Loss of proteostasis level3 z_score,Cmap pAGE Loss of proteostasis level4 z_score,Cmap pAGE Loss of proteostasis level5 z_score
0,cambinol,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
1,selisistat,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
2,archexin,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
3,"n-[(1s)-2-amino-1-phenylethyl]-5-(1h-pyrrolo[2,3-b]pyridin-4-yl)thiophene-2-carboxamide",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
4,"5-(5-chloro-7h-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1h-imidazo[4,5-c]pyridine",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
5,"n-[2-(5-methyl-4h-1,2,4-triazol-3-yl)phenyl]-7h-pyrrolo[2,3-d]pyrimidin-4-amine",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
6,"4-(2-aminoethoxy)-3,5-dichloro-n-[3-(1-methylethoxy)phenyl]benzamide",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
7,"6-[n-(1-isopropyl-1,2,3,4-tetrahydro-7-isoquinolinyl)carbamyl]-2-naphthalenecarboxamidine",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
8,"6-[n-(1-isopropyl-3,4-dihydro-7-isoquinolinyl)carbamyl]-2-naphthalenecarboxamidine",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
9,"4-(2-aminoethoxy)-n-(3-chloro-2-ethoxy-5-piperidin-1-ylphenyl)-3,5-dimethylbenzamide",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
10,6-[n-(4-(aminomethyl)phenyl)carbamyl]-2-naphthalenecarboxamidine,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
11,"(2r)-1-(2,6-dimethylphenoxy)propan-2-amine",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
12,"[2,4,6-triisopropyl-phenylsulfonyl-l-[3-amidino-phenylalanine]]-piperazine-n'-beta-alanine",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
13,"4-(2-aminoethoxy)-n-(2,5-diethoxyphenyl)-3,5-dimethylbenzamide",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
14,6-[(z)-amino(imino)methyl]-n-[4-(aminomethyl)phenyl]-4-(pyrimidin-2-ylamino)-2-naphthamide,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
15,"4-(2-aminoethoxy)-n-(3-chloro-5-piperidin-1-ylphenyl)-3,5-dimethylbenzamide",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
16,coenzyme a,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
17,plasminogen,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
18,fibrinolysin,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
19,pimasertib,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
20,6-[(z)-amino(imino)methyl]-n-[3-(cyclopentyloxy)phenyl]-2-naphthamide,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
21,"6-[n-(4-ethyl-1,2,3,4-tetrahydro-6-isoquinolinyl)carbamyl]-2-naphthalenecarboxamidine",4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
22,trans-6-(2-phenylcyclopropyl)-naphthalene-2-carboxamidine,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
23,urokinase,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
24,pg-530742,4,0,"[1, 2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
25,2-{[formyl(hydroxy)amino]methyl}-4-methylpentanoic acid,4,0,"[1, 2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
26,"(2r)-2-amino-3,3,3-trifluoro-n-hydroxy-2-{[(4-phenoxyphenyl)sulfonyl]methyl}propanamide",4,0,"[1, 2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
27,"5-(4-phenoxyphenyl)-5-(4-pyrimidin-2-ylpiperazin-1-yl)pyrimidine-2,4,6(2h,3h)-trione",4,0,"[1, 2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
28,(3-carboxy-2-(r)-hydroxy-propyl)-trimethyl-ammonium,4,0,"[1, 2, 3, 4]",[],,,,,,0.0,0.0,0.0,0.0,0.0
29,6-fluoro-2-[2-hydroxy-3-(2-methyl-cyclohexyloxy)-phenyl]-1h-indole-5-carboxamidine,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
30,"(3r)-4,4-difluoro-3-[(4-methoxyphenyl)sulfonyl]butanoic acid",4,0,"[1, 2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
31,1-[4-(2-oxo-2-phenylethyl)phenyl]guanidine,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
32,"2-amino-n,3,3-trimethylbutanamide",4,0,"[1, 2, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
33,6-(n-phenylcarbamyl)-2-naphthalenecarboxamidine,4,0,"[2, 3, 4, 5]",[],,,,,,0.0,0.0,0.0,0.0,0.0
