,drug_name,Mitochondrial dysfunction count,Mitochondrial dysfunction count marg,Mitochondrial dysfunction,Mitochondrial dysfunction marg,Cmap pAGE Mitochondrial dysfunction level1,Cmap pAGE Mitochondrial dysfunction level2,Cmap pAGE Mitochondrial dysfunction level3,Cmap pAGE Mitochondrial dysfunction level4,Cmap pAGE Mitochondrial dysfunction level5,Cmap pAGE Mitochondrial dysfunction level1 z_score,Cmap pAGE Mitochondrial dysfunction level2 z_score,Cmap pAGE Mitochondrial dysfunction level3 z_score,Cmap pAGE Mitochondrial dysfunction level4 z_score,Cmap pAGE Mitochondrial dysfunction level5 z_score
0,selenious acid,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
1,grn163l,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
2,lithium succinate,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
3,"6-chloro-9-hydroxy-1,3-dimethyl-1,9-dihydro-4h-pyrazolo[3,4-b]quinolin-4-one",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
4,lithium cation,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
5,"5-cyano-n-(2,5-dimethoxybenzyl)-6-ethoxypyridine-2-carboxamide",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
6,pentaerythritol tetranitrate,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
7,"n-(4-amino-5-cyano-6-ethoxypyridin-2-yl)-2-(4-bromo-2,5-dimethoxyphenyl)acetamide",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
8,benzoyl peroxide,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
9,s-hydroxycysteine,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
10,lithium citrate,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
11,d-alpha-tocopherol acetate,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
12,"5-(5-chloro-7h-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1h-imidazo[4,5-c]pyridine",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
13,perifosine,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
14,cibacron blue,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
15,thimerosal,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
16,polaprezinc,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
17,"n-[2-(5-methyl-4h-1,2,4-triazol-3-yl)phenyl]-7h-pyrrolo[2,3-d]pyrimidin-4-amine",5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
18,tertomotide,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0.0,0.0,0.0,0.0
