,drug_name,Telomere attrition count,Telomere attrition count marg,Telomere attrition,Telomere attrition marg,Cmap pAGE Telomere attrition level1,Cmap pAGE Telomere attrition level2,Cmap pAGE Telomere attrition level3,Cmap pAGE Telomere attrition level4,Cmap pAGE Telomere attrition level5,Cmap pAGE Telomere attrition level1 z_score,Cmap pAGE Telomere attrition level2 z_score,Cmap pAGE Telomere attrition level3 z_score,Cmap pAGE Telomere attrition level4 z_score,Cmap pAGE Telomere attrition level5 z_score
0,grn163l,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
1,tertomotide,5,0,"[1, 2, 3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
2,alanosine,4,1,"[1, 2, 3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
3,migalastat,4,1,"[1, 2, 3, 4]",[5],,,,,,0,0,0.0,0.0,0.0
4,"4-chloro-6-(4-piperazin-1-yl-1h-pyrazol-5-yl)benzene-1,3-diol",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
5,"8-(2-chloro-3,4,5-trimethoxy-benzyl)-9-pent-4-ylnyl-9h-purin-6-ylamine",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
6,"8-(6-bromo-benzo[1,3]dioxol-5-ylsulfanyl)-9-(3-isopropylamino-propyl)-adenine",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
7,"8-benzo[1,3]dioxol-,5-ylmethyl-9-butyl-9h-",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
8,"8-benzo[1,3]dioxol-,5-ylmethyl-9-butyl-2-fluoro-9h-purin-6-ylamine",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
9,"4-chloro-6-(4-{4-[4-(methylsulfonyl)benzyl]piperazin-1-yl}-1h-pyrazol-5-yl)benzene-1,3-diol",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
10,cct-018159,3,0,"[1, 2, 5]",[],0.0,0.0,-1.0,0.25,0.0526315789473684,0,0,-1.0,0.7071067811865476,0.2294157338705617
11,snx-5422,3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
12,"8-(2-chloro-3,4,5-trimethoxy-benzyl)-2-fluoro-9-pent-4-ylnyl-9h-purin-6-ylamine",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
13,"6-(3-bromo-2-naphthyl)-1,3,5-triazine-2,4-diamine",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
14,tivozanib,3,0,"[1, 2, 5]",[],0.0,0.0,-1.0,-0.25,-0.2631578947368421,0,0,-1.0,-0.7071067811865476,-1.1470786693528088
15,"4-(1h-imidazol-4-yl)-3-(5-ethyl-2,4-dihydroxy-phenyl)-1h-pyrazole",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
16,"3,6-diamino-5-cyano-4-(4-ethoxyphenyl)thieno[2,3-b]pyridine-2-carboxamide",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
17,"9-butyl-8-(2,5-dimethoxy-benzyl)-2-fluoro-9h-purin-6-ylamine",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
18,"2-(1h-pyrrol-1-ylcarbonyl)benzene-1,3,5-triol",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
19,"8-(2,5-dimethoxy-benzyl)-2-fluoro-9-pent-9h-purin-6-ylamine",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
20,"8-(2,5-dimethoxy-benzyl)-2-fluoro-9h-purin-6-ylamine",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
21,"4-{[(2r)-2-(2-methylphenyl)pyrrolidin-1-yl]carbonyl}benzene-1,3-diol",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
22,veliparib,3,0,"[3, 4, 5]",[],0.0,0.0,-1.0,0.25,0.3684210526315789,0,0,-1.0,0.7071067811865476,1.6059101370939324
23,"4-methyl-7,8-dihydro-5h-thiopyrano[4,3-d]pyrimidin-2-amine",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
24,"4-(1,3-benzodioxol-5-yl)-5-(5-ethyl-2,4-dihydroxyphenyl)-2h-pyrazole-3-carboxylic acid",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
25,"2-amino-4-(2,4-dichlorophenyl)-n-ethylthieno[2,3-d]pyrimidine-6-carboxamide",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
26,alvocidib,3,0,"[1, 2, 3]",[],0.0,0.0,1.0,0.5,0.2631578947368421,0,0,1.0,1.4142135623730951,1.1470786693528088
27,alvespimycin,3,0,"[1, 2, 5]",[],0.0,0.0,1.0,0.25,-0.1578947368421052,0,0,1.0,0.7071067811865476,-0.6882472016116853
28,"(1e)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1h-pyrazol-4-yl)-2,3-dihydro-1h-inden-1-one oxime",3,0,"[1, 2, 3]",[],,,,,,0,0,0.0,0.0,0.0
29,"5-(5-chloro-2,4-dihydroxyphenyl)-n-ethyl-4-piperazin-1-yl-1h-pyrazole-3-carboxamide",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
30,"5-(5-chloro-2,4-dihydroxyphenyl)-n-ethyl-4-[4-(morpholin-4-ylmethyl)phenyl]isoxazole-3-carboxamide",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
31,"2-[(2-methoxyethyl)amino]-4-(4-oxo-1,2,3,4-tetrahydro-9h-carbazol-9-yl)benzamide",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
32,"5-(5-chloro-2,4-dihydroxyphenyl)-n-ethyl-4-(4-methoxyphenyl)isoxazole-3-carboxamide",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
33,"2',3'-dideoxyadenosine triphosphate",3,0,"[3, 4, 5]",[],,,,,,0,0,0.0,0.0,0.0
34,"2-amino-4-[2,4-dichloro-5-(2-pyrrolidin-1-ylethoxy)phenyl]-n-ethylthieno[2,3-d]pyrimidine-6-carboxamide",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
35,"9-butyl-8-(2,5-dimethoxy-benzyl)-9h-purin-6-ylamine",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
36,n-[(2-amino-6-methylpyrimidin-4-yl)methyl]-3-{[(e)-(2-oxodihydrofuran-3(2h)-ylidene)methyl]amino}benzenesulfonamide,3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
37,"9-butyl-8-(2-chloro-3,4,5-trimethoxy-benzyl)-9h-purin-6-ylamine",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
38,"n-{2,4-difluoro-3-[(5-pyridin-3-yl-1h-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]phenyl}ethanesulfonamide",3,0,"[1, 2, 3]",[],,,,,,0,0,0.0,0.0,0.0
39,"3-({2-[(2-amino-6-methylpyrimidin-4-yl)ethynyl]benzyl}amino)-1,3-oxazol-2(3h)-one",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
40,"4-bromo-6-(6-hydroxy-1,2-benzisoxazol-3-yl)benzene-1,3-diol",3,0,"[1, 2, 5]",[],,,,,,0,0,0.0,0.0,0.0
